"Rule" "itemsQttSelected" "thFinal" "trueTheta" "seFinal" "ciFinal_Down" "ciFinal_Up"
"MPWI" "45" "-1.75802525714035" "-1.523425" "0.667954515326923" "-3.06719205049203" "-0.448858463788675"
"MPWI" "45" "-1.96301139236988" "-1.585093" "0.652921848666965" "-3.24271470047644" "-0.683308084263315"
"MPWI" "45" "-1.84790571140425" "-1.582305" "0.69016222407816" "-3.20059881408751" "-0.495212608720992"
"MPWI" "45" "-1.88919093847704" "-1.614797" "0.666348781050509" "-3.1952105504782" "-0.583171326475873"
"MPWI" "45" "-1.94943979081264" "-1.643356" "0.662929741692534" "-3.24875820881045" "-0.650121372814831"
"MPWI" "45" "-2.00529778610132" "-1.680451" "0.658388545150973" "-3.29571562243095" "-0.714879949771691"
"MPWI" "45" "-1.93025219748597" "-1.653751" "0.686968449223248" "-3.27668561647887" "-0.583818778493071"
"MPWI" "45" "-1.7712879453728" "-1.539448" "0.683562437037597" "-3.11104570315092" "-0.431530187594687"
"MPWI" "45" "-1.9022421155509" "-1.614706" "0.660605184159303" "-3.19700448450359" "-0.60747974659822"
"MPWI" "45" "-1.84068278940328" "-1.546024" "0.654429089311096" "-3.12334023488837" "-0.558025343918184"
"MPWI" "45" "-1.9142199827056" "-1.600682" "0.668730971820393" "-3.22490860282004" "-0.603531362591158"
"MPWI" "45" "-2.07294635455757" "-1.713952" "0.654573735670177" "-3.35588730169695" "-0.790005407418179"
"MPWI" "45" "-1.97563884492142" "-1.649202" "0.658630800942486" "-3.26653149387746" "-0.68474619596538"
